ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.1818,46.34957825679475,0.1817630519874304,16271,0
0.2065,52.65991096532333,0.2065094547659738,19201,0
0.1984,50.59766666666667,0.1984222222222222,11177,0
0.1712,43.662109375,0.1712239583333333,12890,0
0.1632,41.61199625117151,0.163184299024202,13258,0
0.2186,55.74205186631944,0.2185962818287037,15397,0
0.182,46.39866666666666,0.1819555555555555,10695,0
0.198,50.489501953125,0.197998046875,15150,0
0.2501,63.76416666666667,0.2500555555555555,13134,0
0.1914,48.801676432291664,0.1913791232638889,15029,0
0.2248,57.31192688223938,0.2247526544401544,21977,0
0.2203,56.177952202436735,0.2203056949115166,19814,0
0.2746,70.02039092664093,0.2745897683397683,25883,0
0.3211,81.88890564671814,0.3211329633204633,26278,0
0.2131,54.343369259606376,0.2131112519984563,19026,0
0.1323,33.739456419868795,0.132311593803407,12814,0
0.1193,30.42174320524836,0.119300953746072,12638,0
0.1245,31.73654681467181,0.1244570463320463,11810,0
0.2502,63.80096063730085,0.2501998456364739,20862,0
0.1253,31.94053618222133,0.125257004636162,4052,1
0.2387,60.86778428819444,0.238697193287037,17068,0
0.0983,25.072166666666668,0.0983222222222222,6170,0
0.168,42.838948567708336,0.1679958767361111,12725,0
0.0501666666666666,73543.0,0.0528162545971581,53051,1
0.1786,45.531666666666666,0.1785555555555555,10517,0
0.2222,56.6525,0.2221666666666666,11633,0
0.2318,59.10333333333333,0.2317777777777777,12251,0
0.061,15.547981966509232,0.0609724783000362,19213,1
0.1922,49.01150173611112,0.1922019675925926,13658,0
0.0982744791666666,153736.0,0.1089848519679272,104605,0
0.1236,31.510304851867755,0.123569822948501,31618,1
0.2108,53.752170138888886,0.210792824074074,14862,0
0.2063,52.60366666666667,0.2062888888888888,11669,0
0.302,77.01566666666666,0.3020222222222222,16137,0
0.2742,69.91623711340206,0.2741813220133414,21650,0
0.1136,28.979333333333333,0.1136444444444444,6992,0
0.2115,53.9325,0.2115,12048,0
0.2031,51.79918077256944,0.2031340422453703,15887,0
0.2903,74.01861124517374,0.2902690637065637,21224,0
0.271,69.10086691658857,0.270983791829759,22313,0
0.122,31.107075913776946,0.1219885329952037,11445,0
0.1864,47.52518744142456,0.1863732840840178,17169,0
0.3395,86.56246983590734,0.339460666023166,28156,0
0.134,34.16433333333333,0.1339777777777777,8237,0
0.1496,38.13788659793814,0.1495603395997574,14049,0
0.2076,52.94745551215278,0.2076370804398148,13605,0
0.34,86.68861607142857,0.3399553571428571,25377,0
0.2691,68.61761949390815,0.269088703897679,20289,0
0.2352,59.98467339409722,0.2352340133101851,16390,0
0.2804,71.49739583333333,0.2803819444444444,19002,0
0.0988,25.18334114339269,0.0987582005623242,10356,0
0.396,100.97390805984556,0.39597611003861,30309,0
0.1861,47.45049370659722,0.1860803674768518,14182,0
0.2318,59.10333333333333,0.2317777777777777,13488,0
0.2331632468425433,14647.0,0.3040513437625351,9984,0
0.348,88.74233832046332,0.3480091698841699,25667,0
0.1659,42.31553819444444,0.165943287037037,12672,0
0.123569822948501,42283.0,0.1409918661309728,31618,1
0.1957,49.915364583333336,0.1957465277777778,12257,0
0.1414,36.06080131208997,0.1414149071062352,14906,0
0.1972,50.28409090909091,0.1971925133689839,18024,0
0.2119,54.031666666666666,0.2118888888888888,11765,0
0.2539,64.75016666666667,0.2539222222222222,13195,0
0.102334275886194,92396.0,0.1140003344856309,69921,0
0.2662,67.8725,0.2661666666666666,13824,0
0.204,52.0285,0.2040333333333333,11474,0
0.2128,54.27483598875352,0.2128424940735432,18128,0
0.1945,49.59524367385192,0.1944911516621644,17550,0
0.1913,48.778666666666666,0.1912888888888889,11004,0
0.2159,55.05262586805556,0.2158926504629629,15576,0
0.2188,55.7843252108716,0.2187620596504768,16829,0
0.1578,40.24726019965278,0.1578323929398148,12686,0
0.283,72.15933333333334,0.2829777777777778,15697,0
0.2027,51.697726779513886,0.202736183449074,15438,0
0.2081,53.07683333333333,0.2081444444444444,11669,0
0.1883,48.026936848958336,0.1883409288194444,13099,0
0.2019,51.49712456597222,0.2019495081018518,15155,0
0.185,47.16227213541666,0.1849500868055555,14319,0
0.2016,51.401514237451735,0.2015745656370656,17157,0
0.3279,83.60726351351352,0.3278716216216216,26915,0
0.267,68.0881998069498,0.2670125482625483,23479,0
0.1379,35.159417229729726,0.1378800675675675,11733,0
0.3546,90.42839044401543,0.354621138996139,29110,0
0.0783,19.9671640625,0.0783026041666666,71711,0
0.1667,42.497166666666665,0.1666555555555555,9959,0
0.2434,62.07317808880309,0.2434242277992278,22948,0
0.2237331969193167,16283.0,0.2882116053450485,11863,0
0.2663,67.91822867853796,0.2663459948177959,19310,0
0.2392,60.99316666666667,0.2391888888888889,12076,0
0.2015,51.385895032802246,0.2015133138541264,18921,0
0.2838,72.36486486486487,0.2837837837837837,20972,0
0.2141,54.605305989583336,0.2141384548611111,14650,0
0.0983757802746566,77741.0,0.1091094382938833,61711,0
0.1782,45.452642374517374,0.1782456563706563,15633,0
