ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.1945,49.59524367385192,0.1944911516621644,17550,0
0.1864,47.525187441424556,0.18637328408401785,17169,0
0.1972,50.28409090909091,0.19719251336898397,18024,0
0.1539,39.23266166822868,0.15385357516952422,14096,0
0.2691,68.61761949390815,0.269088703897679,20289,0
0.271,69.10086691658857,0.27098379182975907,22313,0
0.1414,36.06080131208997,0.1414149071062352,14906,0
0.2245,57.24812558575445,0.22450245327746843,19668,0
0.1987,50.667174320524836,0.19869480125696015,18065,0
0.1982,50.53537956888472,0.1981779590936656,18182,0
0.2128,54.274835988753516,0.2128424940735432,18128,0
0.1822,46.449742268041234,0.18215585203153425,17096,0
0.2526,64.41248828491096,0.25259799327416066,20752,0
0.2375,60.56408153701968,0.23750620210595955,20241,0
0.2203,56.177952202436735,0.2203056949115166,19814,0
0.1102,28.095126522961575,0.11017696675671206,10928,0
0.1323,33.739456419868795,0.132311593803407,12814,0
0.1391,35.47211808809747,0.1391063454435195,13296,0
0.1029,26.248242736644798,0.1029342852417443,10467,0
0.1411,35.9799671977507,0.1410979105794145,13265,0
0.0901,22.976218369259605,0.09010281713435139,9160,0
0.1552,39.56478444236176,0.15515601742102653,12907,0
0.1163,29.66260543580131,0.11632394288549534,11987,0
0.2015,51.385895032802246,0.20151331385412646,18921,0
0.2021,51.535262417994375,0.2020990683058603,18903,0
0.2328,59.37089971883786,0.2328270577209328,22169,0
0.1987,50.674203373945645,0.19872236617233585,18085,0
0.1697,43.26909559512652,0.16968272782402558,15535,0
0.1749,44.597586691658854,0.17489249683003474,14841,0
0.2703,68.92162605435801,0.2702808864876785,19994,0
0.2285,58.26558106841612,0.22849247477810244,20351,0
0.282,71.90950772200772,0.2819980694980695,25186,0
0.3395,86.56246983590734,0.33946066602316605,28156,0
0.234,59.664092664092664,0.23397683397683397,20295,0
0.258,65.78987693050193,0.2579995173745174,20654,0
0.3806,97.04799107142857,0.38058035714285715,26394,0
0.3735,95.23886944980696,0.37348576254826255,26606,0
0.2023,51.59688706563706,0.2023407335907336,20113,0
0.1914,48.80167109073359,0.19137910231660232,18840,0
0.3546,90.42839044401545,0.354621138996139,29110,0
0.396,100.97390805984556,0.39597611003861005,30309,0
0.3253,82.9488416988417,0.3252895752895753,26408,0
0.3113,79.37367277992279,0.311269305019305,24061,0
0.34,86.68861607142857,0.33995535714285713,25377,0
0.2964,75.56928692084942,0.29635014478764476,24326,0
0.3881,98.97402871621621,0.38813344594594595,28850,0
0.284,72.42178450772201,0.2840069980694981,26502,0
0.2895,73.82016167953668,0.2894908301158301,23612,0
0.2399,61.18092422779923,0.23992519305019305,21063,0
0.1765,45.015745656370655,0.1765323359073359,14562,0
0.2193,55.922779922779924,0.2193050193050193,19190,0
0.1379,35.159417229729726,0.13788006756756757,11733,0
0.1981,50.51695222007722,0.19810569498069497,16275,0
0.1786,45.53417591698842,0.17856539575289576,15133,0
0.1782,45.452642374517374,0.17824565637065637,15633,0
0.2673,68.17127171814671,0.26733832046332046,20892,0
0.2784,70.98033301158301,0.2783542471042471,20363,0
0.2903,74.01861124517374,0.2902690637065637,21224,0
0.2838,72.36486486486487,0.28378378378378377,20972,0
0.2806,71.54799107142857,0.2805803571428571,21954,0
0.2872,73.23096645752896,0.28718026061776064,19728,0
0.2458,62.690063947876446,0.24584338803088804,16781,0
0.1705,43.46968508687259,0.17046935328185328,16473,0
0.2999,76.46615588803088,0.29986727799227797,22405,0
0.2807,71.58798865830116,0.28073721042471045,21409,0
0.291,74.2170608108108,0.2910472972972973,22286,0
0.2563,65.35451858108108,0.2562922297297297,18425,0
0.1855,47.30791505791506,0.18552123552123553,14208,0
0.3282,83.70264237451738,0.3282456563706564,23015,0
0.2526,64.41919039575289,0.25262427606177607,20785,0
0.2353,59.9917652027027,0.23526182432432433,19840,0
0.2336,59.55948359073359,0.2335666023166023,23629,0
0.2502,63.8038429054054,0.25021114864864863,24309,0
0.2434,62.07317808880309,0.2434242277992278,22948,0
0.2103,53.62291867760618,0.2102859555984556,20608,0
0.2102,53.592151303088805,0.21016529922779922,19520,0
0.1848,47.112542229729726,0.18475506756756757,17477,0
0.2966,75.64466698841699,0.2966457528957529,22966,0
0.239,60.94401544401544,0.238996138996139,22265,0
0.3136,79.95979126447877,0.3135678088803089,25321,0
